school,year,title,imageUrl,sourceUrl
"天津大学","2025","天津大学2025年硕士研究生招生考试初试进入复试基本分数要求","https://t1.chei.com.cn/news/img/2293357893.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357892.html"
"天津大学","2025","天津大学2025年硕士研究生招生考试初试进入复试基本分数要求","https://t2.chei.com.cn/news/img/2293357894.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357892.html"
"天津大学","2025","天津大学2025年硕士研究生招生考试初试进入复试基本分数要求","https://t3.chei.com.cn/news/img/2293357895.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357892.html"
"中国农业大学","2025","中国农业大学2025年硕士研究生招生考试复试基本分数线","https://t2.chei.com.cn/news/img/2293357878.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357877.html"
"东北大学","2025","东北大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293357885.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357871.html"
"东北大学","2025","东北大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357886.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357871.html"
"东北大学","2025","东北大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357887.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357871.html"
"东北大学","2025","东北大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357888.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357871.html"
"东北大学","2025","东北大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293357889.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357871.html"
"上海交通大学","2025","上海交通大学2025年硕士研究生招生考试复试基本分数线","https://t3.chei.com.cn/news/img/2293357813.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357812.html"
