name,province,dept,level,admissionUrl
"华南师范大学","广东","广东省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368422.dhtml"
"南方科技大学","广东","广东省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-1865236958.dhtml"
"广西大学","广西","广西壮族自治区","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368436.dhtml"
"海南大学","海南","海南省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368439.dhtml"
"重庆大学","重庆","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368455.dhtml"
"西南大学","重庆","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368457.dhtml"
"四川大学","四川","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368479.dhtml"
"西南交通大学","四川","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368494.dhtml"
"电子科技大学","四川","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368480.dhtml"
"西南石油大学","四川","四川省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368476.dhtml"
"成都理工大学","四川","四川省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368481.dhtml"
"四川农业大学","四川","四川省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368486.dhtml"
"成都中医药大学","四川","四川省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368488.dhtml"
"西南财经大学","四川","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368491.dhtml"
"贵州大学","贵州","贵州省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368502.dhtml"
"云南大学","云南","云南省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368520.dhtml"
"西藏大学","西藏","西藏自治区","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368521.dhtml"
"西北大学","陕西","陕西省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368552.dhtml"
"西安交通大学","陕西","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368554.dhtml"
"西北工业大学","陕西","工业与信息化部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368555.dhtml"
"西安电子科技大学","陕西","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368557.dhtml"
"长安大学","陕西","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368566.dhtml"
"西北农林科技大学","陕西","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368564.dhtml"
"陕西师范大学","陕西","教育部","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368568.dhtml"
"空军军医大学","陕西","解放军","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368546.dhtml"
"兰州大学","甘肃","教育部","985/211/双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368587.dhtml"
"青海大学","青海","青海省","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368600.dhtml"
"宁夏大学","宁夏","宁夏回族自治区","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368602.dhtml"
"新疆大学","新疆","新疆维吾尔自治区","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368613.dhtml"
"石河子大学","新疆","新疆生产建设兵团","双一流","https://yz.chsi.com.cn/sch/schoolInfo--schId-368610.dhtml"
